Date,Federal Funds Rate
10/22/2013,0.08
10/28/2013,0.08
10/29/2013,0.08
10/30/2013,0.08
10/31/2013,0.07
11/1/2013,0.08
11/14/2013,0.09
11/30/2013,0.07
12/1/2013,0.07
12/2/2013,0.09
12/3/2013,0.09
12/4/2013,0.09
12/5/2013,0.09
12/6/2013,0.09
12/7/2013,0.09
12/8/2013,0.09
12/9/2013,0.09
12/10/2013,0.09
12/11/2013,0.08
12/12/2013,0.09
12/13/2013,0.08
12/14/2013,0.08
12/15/2013,0.08
12/16/2013,0.09
12/17/2013,0.09
12/18/2013,0.09
12/19/2013,0.09
12/20/2013,0.09
12/21/2013,0.09
12/22/2013,0.09
12/23/2013,0.09
12/24/2013,0.08
12/25/2013,0.08
12/26/2013,0.08
12/27/2013,0.08
12/28/2013,0.08
12/29/2013,0.08
12/30/2013,0.08
12/31/2013,0.07
1/1/2014,0.07
1/2/2014,0.08
1/3/2014,0.08
1/4/2014,0.08
1/5/2014,0.08
1/6/2014,0.08
1/7/2014,0.07
1/8/2014,0.07
1/9/2014,0.07
1/10/2014,0.07
1/11/2014,0.07
1/12/2014,0.07
1/13/2014,0.07
1/14/2014,0.07
1/15/2014,0.07
1/16/2014,0.07
1/17/2014,0.07
1/18/2014,0.07
1/19/2014,0.07
1/20/2014,0.07
1/21/2014,0.07
1/22/2014,0.07
1/23/2014,0.07
1/24/2014,0.07
1/25/2014,0.07
1/26/2014,0.07
1/27/2014,0.07
1/28/2014,0.07
1/29/2014,0.07
1/30/2014,0.07
1/31/2014,0.07
2/1/2014,0.07
2/2/2014,0.07
2/3/2014,0.07
2/4/2014,0.07
2/5/2014,0.07
2/6/2014,0.07
2/7/2014,0.06
2/8/2014,0.06
2/9/2014,0.06
2/10/2014,0.07
2/11/2014,0.06
2/12/2014,0.07
2/13/2014,0.06
2/14/2014,0.06
2/15/2014,0.06
2/16/2014,0.06
2/17/2014,0.06
2/18/2014,0.07
2/19/2014,0.07
2/20/2014,0.07
2/21/2014,0.07
2/22/2014,0.07
2/23/2014,0.07
2/24/2014,0.07
2/25/2014,0.07
2/26/2014,0.07
2/27/2014,0.07
2/28/2014,0.06
3/1/2014,0.06
3/2/2014,0.06
3/3/2014,0.07
3/4/2014,0.07
3/5/2014,0.08
3/6/2014,0.08
3/7/2014,0.08
3/8/2014,0.08
3/9/2014,0.08
3/10/2014,0.08
3/11/2014,0.08
3/12/2014,0.08
3/13/2014,0.08
3/14/2014,0.08
3/15/2014,0.08
3/16/2014,0.08
3/17/2014,0.08
3/18/2014,0.08
3/19/2014,0.08
3/20/2014,0.08
3/21/2014,0.08
3/22/2014,0.08
3/23/2014,0.08
3/24/2014,0.09
3/25/2014,0.09
3/26/2014,0.08
3/27/2014,0.08
3/28/2014,0.08
3/29/2014,0.08
3/30/2014,0.08
3/31/2014,0.06
4/1/2014,0.08
4/2/2014,0.09
4/3/2014,0.08
4/4/2014,0.08
4/5/2014,0.08
