,Species,Month,Year,Site,Location,Age,Number,Length,Diameter,Taper,TI,Mass,d13C,d15N,CN,Ropey,Segmented,Flat,Scrape
0,Coyote,January,2012,YOLA,Edge,5,2,9.5,25.7,41.9,1.63,15.89,-26.85,6.94,8.5,False,False,False,False
1,Coyote,January,2012,YOLA,Edge,3,2,14.0,25.4,37.1,1.46,17.61,-29.62,9.87,11.3,False,False,False,False
2,Bobcat,January,2012,YOLA,Middle,3,2,9.0,18.8,16.5,0.88,8.4,-28.73,8.52,8.1,True,True,False,True
3,Coyote,January,2012,YOLA,Middle,5,2,8.5,18.1,24.7,1.36,7.4,-20.07,5.79,11.5,True,False,False,False
4,Coyote,January,2012,YOLA,Edge,5,4,8.0,20.7,20.1,0.97,25.45,-23.24,7.01,10.6,False,True,False,False
5,Coyote,January,2012,YOLA,Edge,5,3,9.0,21.2,28.5,1.34,14.14,-29.0,8.28,9.0,True,False,False,False
6,Bobcat,January,2012,ANNU,OffEdge,1,5,6.0,15.7,8.2,0.52,14.82,-28.06,4.2,5.4,True,True,False,True
7,Bobcat,January,2012,ANNU,OffEdge,3,7,5.5,21.9,19.3,0.88,26.41,-27.6,3.89,5.6,False,True,False,False
8,Bobcat,January,2012,ANNU,OffEdge,5,2,11.0,17.5,29.1,1.66,16.24,-28.64,7.34,5.8,False,True,False,False
10,GrayFox,January,2012,ANNU,Middle,3,1,8.0,,,,2.51,-25.79,7.83,20.5,False,False,True,False
11,GrayFox,January,2012,ANNU,Middle,1,1,8.0,12.9,14.7,1.14,8.55,-25.71,8.47,18.1,True,False,False,False
13,GrayFox,January,2012,ANNU,Middle,3,1,11.5,,,,8.17,-25.73,9.72,18.9,False,False,True,False
14,GrayFox,January,2012,ANNU,Middle,1,1,8.5,,,,3.43,-26.17,8.07,19.9,False,False,True,False
15,GrayFox,January,2012,ANNU,Middle,5,1,10.5,12.1,11.9,0.98,3.1,-26.88,6.7,7.0,True,True,False,False
16,Bobcat,February,2013,ANNU,Edge,5,7,5.0,13.0,37.6,2.89,9.75,-27.92,7.57,5.8,True,True,False,False
18,Bobcat,February,2013,ANNU,Edge,5,4,10.5,15.5,38.2,2.46,12.76,-25.77,3.88,5.7,True,False,False,False
19,Bobcat,February,2013,ANNU,OffEdge,3,3,11.0,16.5,25.8,1.56,18.75,-28.91,6.36,6.0,True,True,False,False
20,Bobcat,February,2013,ANNU,OffEdge,5,4,11.5,17.5,18.9,1.08,14.08,-27.3,6.61,6.9,True,True,False,False
21,Bobcat,February,2013,ANNU,OffEdge,5,5,7.5,18.0,32.1,1.78,21.69,-27.2,9.07,5.8,True,True,False,False
22,Bobcat,April,2012,YOLA,Middle,4,4,5.5,21.7,18.9,0.87,19.15,-29.12,8.72,6.05,False,True,False,False
23,Bobcat,April,2012,YOLA,Middle,3,1,9.0,21.6,11.4,0.53,9.74,-29.85,10.32,7.48,False,True,False,False
24,Coyote,April,2012,YOLA,Middle,5,2,17.0,22.1,5.0,0.23,24.69,-27.82,7.95,7.3,False,True,False,False
25,Coyote,April,2012,YOLA,Middle,3,2,6.0,12.5,21.4,1.71,5.05,-29.52,8.91,7.5,True,False,False,False
26,Bobcat,April,2012,YOLA,OffEdge,5,2,16.5,18.7,23.0,1.23,10.21,-28.53,5.59,7.84,True,True,False,False
27,Bobcat,April,2012,ANNU,OffEdge,4,1,16.5,16.5,28.9,1.83,7.11,-27.66,8.06,6.2,True,True,False,False
